audio offset,blinking state,eye state
5410,open,neutral
5529,half_closed,neutral
5548,closed,neutral
5806,half_closed,neutral
11317,open,neutral
11419,half_closed,neutral
11439,closed,neutral
11703,half_closed,neutral
16745,open,neutral
16855,half_closed,neutral
16874,closed,neutral
17187,half_closed,neutral
21559,open,neutral
21668,half_closed,neutral
21688,closed,neutral
22025,half_closed,neutral
26829,open,neutral
26933,half_closed,neutral
26951,closed,neutral
27260,half_closed,neutral
32345,open,neutral
32456,half_closed,neutral
32476,closed,neutral
32752,half_closed,neutral
38218,open,neutral
38322,half_closed,neutral
38342,closed,neutral
38639,half_closed,neutral
43262,open,neutral
43370,half_closed,neutral
43390,open,neutral
