audio offset,blinking state,eye state
6417,open,happy
6534,half_closed,happy
6554,closed,happy
6872,half_closed,happy
11289,open,happy
11403,half_closed,happy
11423,closed,happy
11704,half_closed,happy
16526,open,happy
16647,half_closed,happy
16665,closed,happy
16954,half_closed,happy
21930,open,happy
22036,half_closed,happy
22055,closed,happy
22379,half_closed,happy
28333,open,happy
28445,half_closed,happy
28464,closed,happy
28765,half_closed,happy
33802,open,happy
33912,half_closed,happy
33933,closed,happy
34264,half_closed,happy
39712,open,happy
39812,half_closed,happy
39832,closed,happy
40125,half_closed,happy
44815,open,happy
44926,half_closed,happy
44946,closed,happy
45265,half_closed,happy
50360,open,happy
50467,half_closed,happy
50487,open,happy
