audio offset,blinking state,eye state
5470,open,angry
5590,half_closed,angry
5610,closed,angry
5897,half_closed,angry
10453,open,angry
10568,half_closed,angry
10587,closed,angry
10858,half_closed,angry
15781,open,angry
15891,half_closed,angry
15909,closed,angry
16183,half_closed,angry
21535,open,angry
21648,half_closed,angry
21668,closed,angry
21977,half_closed,angry
27174,open,angry
27280,half_closed,angry
27300,closed,angry
27592,half_closed,angry
32108,open,angry
32219,half_closed,angry
32237,closed,angry
32522,half_closed,angry
38062,open,angry
38174,half_closed,angry
38193,closed,angry
38500,half_closed,angry
44234,open,angry
44339,half_closed,angry
44359,open,angry
