audio offset,blinking state,eye state
6177,open,angry
6291,half_closed,angry
6311,closed,angry
6636,half_closed,angry
11672,open,angry
11785,half_closed,angry
11805,closed,angry
12142,half_closed,angry
17575,open,angry
17689,half_closed,angry
17708,closed,angry
18019,half_closed,angry
22128,open,angry
22239,half_closed,angry
22259,closed,angry
22550,half_closed,angry
28290,open,angry
28395,half_closed,angry
28414,closed,angry
28718,half_closed,angry
33788,open,angry
33903,half_closed,angry
33922,closed,angry
34228,half_closed,angry
40250,open,angry
40358,half_closed,angry
40379,closed,angry
40670,half_closed,angry
46179,open,angry
46282,half_closed,angry
46301,closed,angry
46605,half_closed,angry
51302,open,angry
51417,half_closed,angry
51437,open,angry
