audio offset,blinking state,eye state
4757,open,angry
4871,half_closed,angry
4891,closed,angry
5177,half_closed,angry
10404,open,angry
10517,half_closed,angry
10535,closed,angry
10838,half_closed,angry
15971,open,angry
16075,half_closed,angry
16094,closed,angry
16411,half_closed,angry
21921,open,angry
22027,half_closed,angry
22046,closed,angry
22326,half_closed,angry
27942,open,angry
28056,half_closed,angry
28076,closed,angry
28410,half_closed,angry
34501,open,angry
34616,half_closed,angry
34634,closed,angry
34922,half_closed,angry
39281,open,angry
39388,half_closed,angry
39407,open,angry
