audio offset,blinking state,eye state
4747,open,happy
4855,half_closed,happy
4875,closed,happy
5177,half_closed,happy
10253,open,happy
10359,half_closed,happy
10377,closed,happy
10675,half_closed,happy
15683,open,happy
15786,half_closed,happy
15804,closed,happy
16068,half_closed,happy
21715,open,happy
21831,half_closed,happy
21850,closed,happy
22153,half_closed,happy
27378,open,happy
27487,half_closed,happy
27507,closed,happy
27798,half_closed,happy
32896,open,happy
33009,half_closed,happy
33028,open,happy
