audio offset,blinking state,eye state
4810,open,happy
4920,half_closed,happy
4939,closed,happy
5221,half_closed,happy
10269,open,happy
10384,half_closed,happy
10405,closed,happy
10696,half_closed,happy
16278,open,happy
16389,half_closed,happy
16408,closed,happy
16720,half_closed,happy
21535,open,happy
21651,half_closed,happy
21670,closed,happy
21986,half_closed,happy
26986,open,happy
27093,half_closed,happy
27113,closed,happy
27415,half_closed,happy
32746,open,happy
32853,half_closed,happy
32873,closed,happy
33178,half_closed,happy
38834,open,happy
38945,half_closed,happy
38966,closed,happy
39272,half_closed,happy
45235,open,happy
45356,half_closed,happy
45376,closed,happy
45657,half_closed,happy
50830,open,happy
50937,half_closed,happy
50957,open,happy
