audio offset,blinking state,eye state
5316,open,happy
5427,half_closed,happy
5446,closed,happy
5723,half_closed,happy
12229,open,happy
12339,half_closed,happy
12359,closed,happy
12635,half_closed,happy
17622,open,happy
17728,half_closed,happy
17749,closed,happy
18023,half_closed,happy
23268,open,happy
23384,half_closed,happy
23403,closed,happy
23714,half_closed,happy
23814,open,happy
23927,half_closed,happy
23947,closed,happy
24239,half_closed,happy
29913,open,happy
30015,half_closed,happy
30034,closed,happy
30333,half_closed,happy
36286,open,happy
36391,half_closed,happy
36411,closed,happy
36706,half_closed,happy
36806,open,happy
36913,half_closed,happy
36933,closed,happy
37217,half_closed,happy
42003,open,happy
42109,half_closed,happy
42128,closed,happy
42425,half_closed,happy
42525,open,happy
42629,half_closed,happy
42649,open,happy
