audio offset,blinking state,eye state
5272,open,neutral
5376,half_closed,neutral
5396,closed,neutral
5707,half_closed,neutral
5807,open,neutral
5918,half_closed,neutral
5938,closed,neutral
6224,half_closed,neutral
11216,open,neutral
11325,half_closed,neutral
11344,closed,neutral
11642,half_closed,neutral
16741,open,neutral
16855,half_closed,neutral
16875,closed,neutral
17177,half_closed,neutral
17277,open,neutral
17383,half_closed,neutral
17403,closed,neutral
17717,half_closed,neutral
22667,open,neutral
22777,half_closed,neutral
22795,closed,neutral
23074,half_closed,neutral
28229,open,neutral
28333,half_closed,neutral
28353,open,neutral
