audio offset,blinking state,eye state
6463,open,neutral
6572,half_closed,neutral
6591,closed,neutral
6880,half_closed,neutral
11978,open,neutral
12085,half_closed,neutral
12104,closed,neutral
12397,half_closed,neutral
18031,open,neutral
18137,half_closed,neutral
18157,closed,neutral
18444,half_closed,neutral
18544,open,neutral
18650,half_closed,neutral
18671,closed,neutral
18960,half_closed,neutral
24439,open,neutral
24541,half_closed,neutral
24561,closed,neutral
24843,half_closed,neutral
30591,open,neutral
30703,half_closed,neutral
30722,closed,neutral
31009,half_closed,neutral
35869,open,neutral
35976,half_closed,neutral
35995,open,neutral
