audio offset,viseme,mouth state
3050.0,I,disgusted
3101.0,C,disgusted
3215.8,E,disgusted
3305.1,A,disgusted
3381.6,D,disgusted
3496.4,E,disgusted
3687.8,A,disgusted
3789.8,E,disgusted
3866.3,A,disgusted
3981.1,A,disgusted
4108.7,E,disgusted
4312.0,I,disgusted
5091.8,I,disgusted
5142.9,A,disgusted
5334.2,D,disgusted
5423.5,C,disgusted
5512.8,E,disgusted
5602.0,G,disgusted
5653.1,A,disgusted
5742.3,F,disgusted
5869.9,B,disgusted
5959.2,E,disgusted
6048.5,E,disgusted
6125.0,E,disgusted
6201.5,E,disgusted
6341.8,A,disgusted
6431.1,H,disgusted
6494.9,E,disgusted
6539.5,E,disgusted
6584.2,B,disgusted
6737.2,E,disgusted
6801.0,E,disgusted
6876.8,I,disgusted
6941.3,G,disgusted
6979.6,A,disgusted
7056.1,E,disgusted
7145.4,E,disgusted
7221.9,A,disgusted
7285.7,E,disgusted
7324.0,A,disgusted
7375.0,E,disgusted
7413.3,E,disgusted
7451.5,A,disgusted
7515.3,E,disgusted
7553.6,E,disgusted
7591.8,A,disgusted
7630.1,E,disgusted
7693.9,E,disgusted
7808.7,E,disgusted
7885.2,A,disgusted
8025.5,E,disgusted
8076.5,E,disgusted
8127.6,G,disgusted
8165.8,A,disgusted
8229.6,E,disgusted
8331.6,G,disgusted
8420.9,B,disgusted
8497.4,E,disgusted
8574.0,E,disgusted
8618.6,E,disgusted
8663.3,A,disgusted
8752.6,E,disgusted
8917.8,I,disgusted
9747.4,I,disgusted
9799.5,G,disgusted
9968.8,A,disgusted
10086.0,E,disgusted
10190.2,G,disgusted
10333.4,B,disgusted
10424.5,E,disgusted
10502.7,E,disgusted
10535.2,E,disgusted
10567.8,A,disgusted
10632.9,E,disgusted
10724.0,D,disgusted
10776.1,A,disgusted
10828.2,E,disgusted
10906.3,E,disgusted
11075.6,C,disgusted
11205.8,E,disgusted
11270.9,G,disgusted
11309.9,A,disgusted
11414.1,E,disgusted
11492.2,E,disgusted
11570.4,A,disgusted
11635.5,F,disgusted
11700.6,A,disgusted
11791.7,E,disgusted
11843.8,A,disgusted
11974.0,G,disgusted
12078.2,E,angry
12155.4,I,angry
12364.6,C,angry
12410.2,A,angry
12468.8,E,angry
12573.0,A,angry
12638.1,E,angry
12690.2,E,angry
12716.2,A,angry
12781.3,D,angry
12859.4,C,angry
12950.6,E,angry
13015.7,E,angry
13145.9,C,angry
13289.1,E,angry
13354.2,H,angry
13445.4,B,angry
13510.5,A,angry
13575.6,E,angry
13627.7,F,angry
13692.8,A,angry
13744.8,E,angry
13809.9,G,angry
13875.1,A,angry
14044.3,E,angry
14304.4,I,angry
15151.1,I,angry
15203.2,D,angry
15398.5,C,angry
15470.1,A,angry
15554.7,E,angry
15658.9,C,angry
15724.0,E,angry
15763.1,E,angry
15802.1,A,angry
15867.2,D,angry
15958.4,E,angry
16088.6,E,angry
16166.7,C,angry
16283.9,H,angry
16375.1,D,angry
16518.3,B,angry
16576.9,A,angry
16635.5,E,angry
16726.6,E,angry
16791.7,A,angry
16830.8,E,angry
16908.9,C,angry
16934.9,B,angry
16961.0,E,angry
17039.1,E,angry
17182.3,C,angry
17299.5,A,angry
17416.7,H,angry
17468.1,I,angry
17533.9,A,angry
17573.0,E,angry
17638.1,E,angry
17683.6,E,angry
17729.2,A,angry
17807.3,E,angry
17872.4,E,angry
17898.5,E,angry
17937.6,E,angry
18002.7,C,angry
18080.8,E,angry
18158.9,E,angry
18171.1,I,angry
18237.0,E,angry
18289.1,B,angry
18341.2,A,angry
18445.4,E,angry
18484.4,E,angry
18523.5,A,angry
18562.6,E,angry
18627.7,E,angry
18744.8,E,angry
18823.0,A,angry
18953.2,E,angry
19005.3,E,angry
19057.3,G,angry
19096.4,A,angry
19174.5,E,angry
19278.7,A,angry
19421.9,H,angry
19513.1,G,angry
19578.2,B,angry
19669.3,E,angry
19786.5,A,angry
19916.7,E,angry
20046.1,I,angry
