audio offset,viseme,mouth state
50.0,I,angry
101.0,G,angry
215.8,A,angry
381.6,E,angry
470.9,C,angry
560.2,E,angry
636.7,F,angry
751.5,G,angry
866.3,C,angry
1044.9,E,angry
1134.2,E,angry
1210.7,A,angry
1338.3,E,angry
1465.8,E,angry
1555.1,C,angry
1720.9,G,angry
1924.0,I,angry
2704.1,I,angry
2755.1,G,angry
2857.1,B,angry
2914.5,A,angry
2984.7,G,angry
3163.3,A,angry
3303.6,F,angry
3380.1,C,angry
3443.9,E,angry
3507.7,G,angry
3558.7,A,angry
3622.4,H,angry
3711.7,G,angry
3801.0,A,angry
3890.3,E,angry
3954.1,A,angry
4030.6,E,angry
4094.4,F,angry
4183.7,G,angry
4260.2,A,angry
4387.8,E,angry
4528.1,C,angry
4719.1,I,angry
4783.2,A,angry
4923.5,E,angry
5000.0,C,angry
5051.0,E,angry
5127.6,E,angry
5255.1,G,angry
5357.1,C,angry
5459.2,E,angry
5535.7,C,angry
5625.0,H,angry
5765.3,B,angry
5854.6,A,angry
5943.9,G,angry
6122.4,E,angry
6589.3,I,angry
6589.3,F,angry
6729.6,B,angry
6869.9,E,angry
6946.4,A,angry
7035.7,E,angry
7188.8,C,angry
7316.3,G,angry
7405.6,E,angry
7507.7,E,angry
7609.7,A,angry
7699.0,E,angry
7743.6,E,angry
7788.3,A,angry
7864.8,E,angry
7954.1,E,angry
8030.3,I,angry
8094.4,D,angry
8145.4,A,angry
8221.9,E,angry
8298.5,H,angry
8400.5,A,angry
8540.8,E,angry
8642.9,A,angry
8846.9,E,angry
9051.0,E,angry
9254.3,I,angry
10134.2,I,angry
10185.2,A,angry
10338.3,D,angry
10440.3,E,angry
10516.8,A,angry
10567.9,E,angry
10644.4,E,angry
10784.7,H,angry
10874.0,C,angry
11001.5,E,angry
11078.1,G,angry
11129.1,A,angry
11205.6,E,angry
11282.1,E,angry
11358.7,B,angry
11448.0,E,angry
11524.5,E,angry
11575.5,A,angry
11664.8,E,angry
11779.2,I,angry
11830.6,A,angry
11894.4,F,angry
11932.7,A,angry
12034.7,E,angry
12149.5,G,angry
12238.8,C,angry
12340.8,E,angry
12430.1,C,angry
12532.1,H,angry
12672.4,B,angry
12761.7,A,angry
12851.0,G,angry
13016.2,I,angry
13080.6,H,angry
13144.4,C,angry
13195.4,A,angry
13259.2,G,angry
13323.0,A,angry
13399.5,F,angry
13514.3,C,angry
13616.3,E,angry
13692.9,H,angry
13731.1,A,angry
13794.9,F,angry
13871.4,G,angry
13909.7,B,angry
13986.2,E,angry
14037.2,A,angry
14279.6,E,angry
14458.2,E,angry
14649.2,I,angry
15428.6,I,angry
15479.6,E,angry
15632.7,E,angry
15760.2,C,angry
15830.4,A,angry
15900.5,A,angry
15977.0,E,angry
16028.1,E,angry
16079.1,A,angry
16130.1,G,angry
16193.9,A,angry
16410.7,E,angry
16551.0,E,angry
16639.6,I,angry
16704.1,H,angry
16793.4,A,angry
16933.7,E,angry
16997.4,G,angry
17035.7,A,angry
17074.0,E,angry
17150.5,G,angry
17188.8,A,angry
17265.3,E,angry
17380.1,G,angry
17494.9,C,angry
17584.2,E,angry
17660.7,C,angry
17750.0,H,angry
17877.6,B,angry
17941.3,A,angry
18005.1,G,angry
18081.6,A,angry
18170.9,E,angry
18260.2,H,angry
18375.0,B,angry
18457.9,A,angry
18540.8,G,angry
18757.6,I,angry
19586.7,I,angry
19637.8,G,angry
19739.8,A,angry
19841.8,F,angry
19969.4,A,angry
20084.2,H,angry
20160.7,B,angry
20230.9,A,angry
20301.0,G,angry
20441.3,E,angry
20529.7,I,angry
20696.4,C,angry
20798.5,E,angry
20875.0,G,angry
20913.3,A,angry
20989.8,A,angry
21117.3,G,angry
21168.4,A,angry
21219.4,E,angry
21283.2,E,angry
21385.2,A,angry
21576.5,E,angry
21665.8,E,angry
21703.7,I,angry
22005.1,I,angry
22005.1,E,angry
22081.6,A,angry
22221.9,F,angry
22311.2,E,angry
22464.3,C,angry
22534.4,B,angry
22604.6,E,angry
22681.1,E,angry
22757.7,A,angry
22974.5,E,angry
23178.6,E,angry
23369.1,I,angry
25511.7,I,angry
25511.7,I,angry
25562.8,F,angry
25728.6,G,angry
25856.1,C,angry
26009.2,E,angry
26085.7,E,angry
26175.0,A,angry
26289.8,E,angry
26404.6,E,angry
26493.9,C,angry
26646.9,G,angry
26736.2,D,angry
26787.2,C,angry
26851.0,E,angry
26902.0,E,angry
26940.3,E,angry
26991.3,B,angry
27055.1,E,angry
27144.4,G,angry
27220.9,C,angry
27278.3,A,angry
27335.7,H,angry
27399.5,A,angry
27476.0,E,angry
27629.1,C,angry
27686.5,A,angry
27756.6,H,angry
27858.7,C,angry
27916.1,B,angry
27973.5,E,angry
28037.2,E,angry
28113.8,A,angry
28177.6,E,angry
28227.7,I,angry
28292.3,E,angry
28356.1,B,angry
28432.7,A,angry
28509.2,H,angry
28573.0,E,angry
28649.5,E,angry
28789.8,A,angry
28942.9,E,angry
29372.4,I,angry
29372.4,H,angry
29385.2,A,angry
29461.7,E,angry
29551.0,C,angry
29640.3,E,angry
29729.6,G,angry
29767.9,B,angry
29844.4,E,angry
29908.2,E,angry
30035.7,C,angry
30150.5,H,angry
30214.3,E,angry
30316.3,C,angry
30380.1,B,angry
30443.9,E,angry
30533.2,H,angry
30635.2,A,angry
30737.2,G,angry
30852.0,B,angry
30903.1,A,angry
30954.1,E,angry
31056.1,A,angry
31208.4,I,angry
31273.0,A,angry
31375.0,E,angry
31477.0,G,angry
31617.3,C,angry
31732.1,E,angry
31846.9,B,angry
31885.2,A,angry
31923.5,E,angry
31974.5,A,angry
32038.3,E,angry
32127.6,C,angry
32204.1,E,angry
32280.6,G,angry
32318.9,A,angry
32369.9,E,angry
32510.2,C,angry
32688.8,H,angry
32777.4,I,angry
33657.1,I,angry
33708.2,E,angry
33912.2,A,angry
34052.6,E,angry
34141.8,A,angry
34218.4,E,angry
