audio offset,viseme,mouth state
50.0,I,happy
104.3,C,happy
206.2,A,happy
321.7,D,happy
403.3,C,happy
484.8,E,happy
539.1,E,happy
566.3,E,happy
607.1,B,happy
647.8,E,happy
756.5,B,happy
851.6,G,happy
919.6,A,happy
1014.7,D,happy
1096.2,E,happy
1232.1,A,happy
1313.6,H,happy
1395.1,E,happy
1449.5,A,happy
1517.4,E,happy
1598.9,A,happy
1666.8,H,happy
1721.2,C,happy
1789.1,B,happy
1857.1,E,happy
1938.6,E,happy
2020.1,C,happy
2169.6,E,happy
2237.5,E,happy
2346.2,E,happy
2427.7,C,happy
2563.6,H,happy
2658.7,A,happy
2821.0,I,happy
3039.1,E,happy
3120.6,G,happy
3188.6,C,happy
3297.3,E,happy
3365.2,E,happy
3446.7,B,happy
3609.0,I,happy
3732.1,A,happy
3772.8,E,happy
3867.9,E,happy
3990.2,G,happy
4044.6,B,happy
4153.3,H,happy
4207.6,A,happy
4275.5,E,happy
4665.8,I,happy
4665.8,E,happy
4774.5,E,happy
4869.6,A,happy
5032.6,E,happy
5168.5,A,happy
5236.4,E,happy
5277.2,A,happy
5345.1,E,happy
5453.8,A,happy
5548.9,E,happy
5657.6,E,happy
5738.8,I,happy
5820.7,A,happy
5915.8,F,happy
5983.7,G,happy
6024.5,A,happy
6106.0,H,happy
6173.9,G,happy
6255.4,A,happy
6364.1,E,happy
6432.1,A,happy
6513.6,E,happy
6595.1,E,happy
6676.6,G,happy
6731.0,C,happy
6880.4,H,happy
6948.4,G,happy
7029.9,A,happy
7233.7,E,happy
7355.8,I,happy
8289.1,I,happy
8343.5,G,happy
8465.8,A,happy
8574.5,E,happy
8710.3,E,happy
8805.4,A,happy
8995.7,C,happy
9104.3,E,happy
9185.9,H,happy
9253.8,E,happy
9335.3,C,happy
9457.6,E,happy
9552.7,B,happy
9675.0,F,happy
9742.9,A,happy
9824.5,G,happy
9919.6,B,happy
10082.6,E,happy
10164.1,A,happy
10327.2,E,happy
10731.0,I,happy
10731.0,A,happy
10866.8,E,happy
11002.7,H,happy
11084.2,A,happy
11220.1,E,happy
11342.4,A,happy
11491.8,E,happy
11573.0,I,happy
11627.7,D,happy
11695.7,A,happy
11763.6,G,happy
11831.5,C,happy
11933.4,B,happy
12035.3,E,happy
12116.8,E,happy
12171.2,E,happy
12225.5,B,happy
12334.2,E,happy
12415.8,E,happy
12470.1,A,happy
12551.6,E,happy
12755.0,I,happy
13688.6,I,happy
13742.9,G,happy
13838.0,B,happy
13899.2,A,happy
13973.9,G,happy
14082.6,A,happy
14204.9,F,happy
14272.8,E,happy
14354.3,A,happy
14408.7,E,happy
14476.6,B,happy
14626.1,G,happy
14666.8,A,happy
14734.8,E,happy
14789.1,A,happy
14870.7,E,happy
14952.2,H,happy
15060.9,B,happy
15183.2,E,happy
15291.8,E,happy
15387.0,A,happy
15454.9,F,happy
15536.4,E,happy
15672.3,E,happy
15781.0,A,happy
15984.8,A,happy
16079.9,E,happy
16120.6,E,happy
16147.8,A,happy
16188.6,F,happy
16242.9,A,happy
16338.0,E,happy
16385.6,E,happy
16433.1,B,happy
16473.9,A,happy
16528.3,G,happy
16704.9,E,happy
17122.3,I,happy
17122.3,A,happy
17231.0,E,happy
17312.5,E,happy
17407.6,A,happy
17489.1,H,happy
17570.7,E,happy
17638.6,A,happy
17706.5,E,happy
17788.0,G,happy
17842.4,A,happy
17964.7,E,happy
18046.2,E,happy
18114.1,B,happy
18182.1,E,happy
18236.4,H,happy
18277.2,A,happy
18372.3,E,happy
18426.6,A,happy
18494.6,H,happy
18576.1,H,happy
18671.2,B,happy
18847.8,E,happy
18956.5,E,happy
18983.3,I,happy
19024.5,E,happy
19092.4,B,happy
19187.5,A,happy
19296.2,F,happy
19404.9,A,happy
19567.9,H,happy
19663.0,G,happy
19758.1,A,happy
20002.3,I,happy
20935.9,I,happy
20990.2,H,happy
21085.3,E,happy
