audio offset,viseme,mouth state
50.0,I,neutral
100.0,G,neutral
200.0,A,neutral
287.5,E,neutral
362.5,D,neutral
400.0,A,neutral
450.0,E,neutral
512.5,C,neutral
543.8,B,neutral
575.0,E,neutral
650.0,G,neutral
725.0,A,neutral
862.5,E,neutral
950.0,E,neutral
1050.0,G,neutral
1100.0,B,neutral
1187.5,E,neutral
1287.5,A,neutral
1400.0,E,neutral
1550.0,I,neutral
2312.5,I,neutral
2362.5,A,neutral
2462.5,D,neutral
2525.0,D,neutral
2562.5,A,neutral
2600.0,G,neutral
2662.5,E,neutral
2737.5,C,neutral
2812.5,B,neutral
2900.0,E,neutral
2987.5,C,neutral
3031.2,A,neutral
3075.0,E,neutral
3150.0,G,neutral
3187.5,A,neutral
3250.0,E,neutral
3350.0,A,neutral
3400.0,E,neutral
3437.5,A,neutral
3487.5,E,neutral
3562.5,A,neutral
3612.5,E,neutral
3662.5,E,neutral
3750.0,A,neutral
3812.5,H,neutral
3887.5,E,neutral
3975.0,B,neutral
4125.0,E,neutral
4275.0,E,neutral
4387.5,I,neutral
5200.0,I,neutral
5250.0,F,neutral
5362.5,C,neutral
5400.0,E,neutral
5475.0,G,neutral
5537.5,A,neutral
5687.5,E,neutral
5825.0,I,neutral
5987.5,H,neutral
6050.0,G,neutral
6112.5,A,neutral
6187.5,E,neutral
6275.0,E,neutral
6325.0,A,neutral
6362.5,E,neutral
6450.0,B,neutral
6512.5,E,neutral
6562.5,E,neutral
6600.0,E,neutral
6662.5,B,neutral
6687.5,A,neutral
6725.0,C,neutral
6762.5,E,neutral
6812.5,E,neutral
6887.5,C,neutral
6962.5,H,neutral
7025.0,H,neutral
7087.5,G,neutral
7150.0,A,neutral
7225.0,E,neutral
7287.5,A,neutral
7375.0,E,neutral
7412.0,I,neutral
7462.5,H,neutral
7500.0,C,neutral
7537.5,A,neutral
7587.5,E,neutral
7700.0,B,neutral
7737.5,A,neutral
7775.0,E,neutral
7837.5,A,neutral
7875.0,E,neutral
7937.5,A,neutral
7975.0,F,neutral
8012.5,G,neutral
8062.5,A,neutral
8125.0,E,neutral
8200.0,H,neutral
8275.0,B,neutral
8318.8,A,neutral
8362.5,E,neutral
8450.0,H,neutral
8525.0,B,neutral
8587.5,E,neutral
8637.5,E,neutral
8675.0,A,neutral
8712.5,E,neutral
8762.5,E,neutral
8812.5,A,neutral
8850.0,F,neutral
8925.0,C,neutral
9006.2,A,neutral
9087.5,E,neutral
9175.0,I,neutral
9237.5,C,neutral
9312.5,E,neutral
9375.0,A,neutral
9425.0,C,neutral
9450.0,E,neutral
9500.0,E,neutral
9575.0,B,neutral
9712.5,E,neutral
9837.0,I,neutral
10650.0,I,neutral
10700.0,C,neutral
10781.2,A,neutral
10875.0,D,neutral
10962.5,A,neutral
11050.0,E,neutral
11150.0,A,neutral
11200.0,D,neutral
11262.5,E,neutral
11337.5,B,neutral
11400.0,E,neutral
11462.5,G,neutral
11525.0,A,neutral
11662.5,E,neutral
11850.0,I,neutral
