audio offset,viseme,mouth state
50.0,I,happy
101.0,G,happy
215.8,A,happy
343.4,E,happy
432.7,E,happy
496.4,E,happy
585.7,E,happy
687.8,B,happy
802.6,A,happy
917.3,E,happy
1159.0,I,happy
1976.8,I,happy
2027.8,A,happy
2155.4,D,happy
2257.4,E,happy
2346.7,A,happy
2474.2,E,happy
2525.3,A,happy
2589.0,H,happy
2665.6,B,happy
2761.2,A,happy
2856.9,E,happy
2946.2,A,happy
3086.5,E,happy
3238.8,I,happy
4056.1,I,happy
4107.1,E,happy
4247.4,C,happy
4400.5,E,happy
4438.8,H,happy
4489.8,B,happy
4553.6,E,happy
4591.8,A,happy
4681.1,E,happy
4821.4,A,happy
4910.7,H,happy
4974.5,E,happy
5006.4,E,happy
5038.3,B,happy
5178.6,E,happy
5204.1,E,happy
5229.6,E,happy
5293.4,D,happy
5344.4,B,happy
5369.9,E,happy
5433.7,B,happy
5491.1,A,happy
5548.5,H,happy
5599.5,A,happy
5637.8,G,happy
5688.8,E,happy
5765.3,B,happy
5841.8,A,happy
5931.1,E,happy
5969.4,E,happy
5994.9,A,happy
6020.4,E,happy
6058.7,E,happy
6148.0,E,happy
6199.0,A,happy
6352.0,E,happy
6390.3,E,happy
6428.6,A,happy
6492.3,E,happy
6517.9,C,happy
6607.1,E,happy
6645.4,G,happy
6670.9,A,happy
6709.2,F,happy
6811.2,B,happy
6875.0,E,happy
6938.8,E,happy
7015.3,E,happy
7091.8,E,happy
7168.4,E,happy
7232.1,C,happy
7423.5,A,happy
7614.1,I,happy
