audio offset,viseme,mouth state
50.0,I,happy
102.1,D,happy
258.3,B,happy
349.5,G,happy
427.6,E,happy
466.7,A,happy
557.8,H,happy
649.0,E,happy
714.1,B,happy
792.2,A,happy
883.3,E,happy
1000.5,A,happy
1052.6,E,happy
1130.7,E,happy
1195.8,E,happy
1247.9,A,happy
1313.0,E,happy
1417.2,G,happy
1469.3,A,happy
1664.6,E,happy
1755.0,I,happy
1820.8,A,happy
1899.0,F,happy
1951.0,G,happy
1990.1,A,happy
2042.2,H,happy
2120.3,G,happy
2185.4,A,happy
2263.5,E,happy
2328.6,A,happy
2393.7,E,happy
2432.8,E,happy
2524.0,A,happy
2628.1,E,happy
2732.3,C,happy
2888.5,G,happy
3083.0,I,happy
3533.9,I,happy
3533.9,E,happy
3638.0,A,happy
3768.2,E,happy
3872.4,C,happy
4054.7,G,happy
4118.9,I,happy
4184.9,A,happy
4302.1,E,happy
4380.2,E,happy
4484.4,B,happy
4588.5,F,happy
4640.6,A,happy
4705.7,E,happy
4783.9,E,happy
4888.0,A,happy
5018.2,E,happy
5083.3,H,happy
5135.4,A,happy
5226.6,G,happy
5304.7,A,happy
5382.8,A,happy
5434.9,E,happy
5500.0,A,happy
5591.1,A,happy
5643.2,E,happy
5721.4,E,happy
5825.5,C,happy
6007.8,G,happy
6138.0,E,happy
6254.9,I,happy
7151.6,I,happy
7203.6,E,happy
7359.9,B,happy
7464.1,E,happy
7542.2,H,happy
7594.3,A,happy
7659.4,G,happy
7737.5,A,happy
7867.7,A,happy
7893.7,E,happy
7971.9,A,happy
8089.1,A,happy
8128.1,E,happy
8206.2,E,happy
8297.4,A,happy
8349.5,E,happy
8414.6,C,happy
8674.6,I,happy
8896.4,A,happy
8961.5,E,happy
9104.7,A,happy
9195.8,H,happy
9247.9,E,happy
9326.0,E,happy
9378.1,A,happy
9430.2,E,happy
9508.3,E,happy
9573.4,E,happy
9677.6,C,happy
9794.8,G,happy
9872.9,E,happy
9964.1,E,happy
10055.2,C,happy
10159.4,H,happy
10224.5,A,happy
10302.6,E,happy
10393.7,A,happy
10471.9,E,happy
10589.1,B,happy
10745.3,E,happy
10862.5,E,happy
11005.6,I,happy
11802.1,I,happy
11854.2,E,happy
12010.4,C,happy
12127.6,H,happy
12192.7,A,happy
12322.9,E,happy
12414.1,D,happy
12466.1,A,happy
12531.2,E,happy
12596.4,G,happy
12648.4,A,happy
12726.6,E,happy
12817.7,E,happy
12895.8,C,happy
12974.0,E,happy
13039.1,E,happy
13078.1,A,happy
13130.2,E,happy
13208.3,H,happy
13286.5,C,happy
13345.1,A,happy
13403.6,E,happy
13481.8,E,happy
13533.9,A,happy
13585.9,F,happy
13664.1,G,happy
13755.2,C,happy
13872.4,A,happy
13989.6,F,happy
14132.1,I,happy
14460.4,I,happy
14460.4,E,happy
14616.7,A,happy
14694.8,H,happy
14746.9,A,happy
14812.0,G,happy
14877.1,A,happy
14968.2,E,happy
15033.3,E,happy
15098.4,B,happy
15176.6,D,happy
15280.7,C,happy
15424.0,E,happy
15476.0,A,happy
15554.2,E,happy
15657.4,I,happy
15723.4,C,happy
15866.7,E,happy
15970.8,B,happy
16192.2,E,happy
16309.4,E,happy
16491.4,I,happy
17375.5,I,happy
17427.6,E,happy
17570.8,C,happy
17688.0,H,happy
17766.1,A,happy
17857.3,E,happy
17948.4,A,happy
18026.6,E,happy
18104.7,E,happy
18182.8,C,happy
18365.1,E,happy
18430.2,H,happy
18482.3,G,happy
18560.4,D,happy
18807.5,I,happy
18872.9,H,happy
18951.0,A,happy
19029.2,E,happy
19107.3,E,happy
19237.5,C,happy
19341.7,A,happy
19445.8,A,happy
19602.1,E,happy
19718.5,I,happy
19914.6,E,happy
19992.7,A,happy
20044.8,E,happy
20096.9,E,happy
20162.0,E,happy
20214.1,A,happy
20305.2,E,happy
20383.3,E,happy
20435.4,A,happy
20474.5,E,happy
20552.6,G,happy
20591.7,A,happy
20630.7,E,happy
20734.9,B,happy
20839.1,E,happy
20917.2,E,happy
20982.3,A,happy
21021.4,F,happy
21060.4,G,happy
21099.5,A,happy
21151.6,D,happy
21268.7,C,happy
21353.4,A,happy
21438.0,E,happy
21515.5,I,happy
21568.2,A,happy
21646.4,E,happy
21724.5,E,happy
21789.6,E,happy
21854.7,B,happy
21900.3,A,happy
21958.9,H,happy
22063.0,G,happy
22115.1,A,happy
22245.3,E,happy
22310.4,A,happy
22427.6,E,happy
22648.5,I,happy
23470.8,I,happy
23522.9,G,happy
23614.1,A,happy
23705.2,F,happy
23796.4,B,happy
23874.5,E,happy
23965.6,E,happy
24030.7,E,happy
24121.9,G,happy
24187.0,A,happy
24252.1,F,happy
24304.2,A,happy
24369.3,E,happy
24460.4,E,happy
24590.6,B,happy
24733.9,G,happy
24811.8,I,happy
24864.1,A,happy
24955.2,E,happy
25020.3,E,happy
25124.5,A,happy
25254.7,E,happy
25358.9,C,happy
25541.1,G,happy
25592.8,I,happy
25645.3,A,happy
25749.5,E,happy
25827.6,E,happy
25905.7,C,happy
26022.9,G,happy
26088.0,E,happy
26166.1,H,happy
26257.3,C,happy
26374.5,G,happy
26465.6,A,happy
26621.9,E,happy
26842.8,I,happy
27677.1,I,happy
27729.2,E,happy
27872.4,C,happy
27989.6,F,happy
28093.7,A,happy
28224.0,E,happy
28289.1,E,happy
28354.2,A,happy
28406.2,E,happy
28471.4,E,happy
28588.5,A,happy
28692.7,E,happy
28731.8,A,happy
28809.9,E,happy
28875.0,G,happy
28914.1,A,happy
29031.2,H,happy
29450.5,I,happy
29450.5,A,happy
29580.7,E,happy
29671.9,H,happy
29763.0,C,happy
29880.2,E,happy
29984.4,E,happy
30036.5,A,happy
30114.6,H,happy
30179.7,H,happy
30231.8,G,happy
30309.9,B,happy
30401.0,E,happy
30466.1,E,happy
30544.3,E,happy
30622.4,E,happy
30674.5,A,happy
30765.6,E,happy
30811.2,E,happy
30856.8,A,happy
30947.9,E,happy
31078.1,E,happy
31259.5,I,happy
32156.8,I,happy
32208.9,G,happy
32313.0,B,happy
32371.6,A,happy
32443.2,G,happy
32547.4,B,happy
32664.6,E,happy
32729.7,E,happy
32846.9,G,happy
32951.0,C,happy
33022.7,A,happy
33094.3,H,happy
33185.4,A,happy
33405.8,I,happy
33632.3,I,happy
33632.3,H,happy
33658.3,A,happy
33710.4,E,happy
33762.5,G,happy
33801.6,B,happy
33847.1,A,happy
33905.7,C,happy
34035.9,G,happy
34088.0,E,happy
34166.1,B,happy
34218.2,E,happy
34244.3,A,happy
34348.4,E,happy
34400.5,A,happy
34478.6,F,happy
34517.7,E,happy
34634.9,A,happy
34713.0,H,happy
34765.1,E,happy
34817.2,A,happy
34882.3,E,happy
34947.4,G,happy
35012.5,C,happy
35064.6,A,happy
35116.7,E,happy
