audio offset,viseme,mouth state
50.0,I,happy
102.1,D,happy
245.3,A,happy
362.5,C,happy
414.6,E,happy
479.7,A,happy
596.9,E,happy
649.0,A,happy
727.1,H,happy
870.3,B,happy
948.4,E,happy
1026.6,A,happy
1078.6,G,happy
1156.8,B,happy
1221.9,G,happy
1300.0,A,happy
1469.3,D,happy
1508.3,E,happy
1547.4,A,happy
1599.5,F,happy
1664.6,B,happy
1768.7,E,happy
1859.9,E,happy
2294.3,I,happy
2294.3,D,happy
2333.3,A,happy
2385.4,E,happy
2431.0,E,happy
2489.6,A,happy
2541.7,E,happy
2619.8,E,happy
2724.0,B,happy
2782.6,A,happy
2841.1,G,happy
2945.3,E,happy
3023.4,E,happy
3140.6,D,happy
3270.8,E,happy
3375.0,A,happy
3453.1,E,happy
3505.2,E,happy
3544.3,E,happy
3596.4,A,happy
3635.4,E,happy
3674.5,A,happy
3804.7,E,happy
3882.8,E,happy
3934.9,C,happy
4000.0,A,happy
4065.1,E,happy
4117.2,E,happy
4156.2,A,happy
4234.4,E,happy
4338.5,C,happy
4436.2,B,happy
4533.9,E,happy
4625.0,A,happy
4677.1,E,happy
4742.2,E,happy
4781.2,E,happy
4833.3,A,happy
4885.4,F,happy
4976.6,E,happy
5015.6,A,happy
5054.7,E,happy
5093.7,E,happy
5132.8,E,happy
5224.0,H,happy
5276.0,A,happy
5406.2,E,happy
5536.5,A,happy
5718.7,E,happy
6227.1,I,happy
6227.1,C,happy
6344.3,E,happy
6435.4,E,happy
6539.6,D,happy
6682.8,E,happy
6774.0,C,happy
6871.6,B,happy
6969.3,E,happy
7060.4,A,happy
7112.5,E,happy
7177.6,E,happy
7229.7,A,happy
7346.9,E,happy
7399.0,E,happy
7451.0,A,happy
7503.1,F,happy
7568.2,A,happy
7659.4,E,happy
7698.4,E,happy
7737.5,B,happy
7776.6,A,happy
7841.7,G,happy
7919.8,H,happy
7997.9,G,happy
8063.0,A,happy
8180.2,E,happy
8245.3,A,happy
8375.5,E,happy
8466.7,E,happy
8648.1,I,happy
9495.3,I,happy
9547.4,G,happy
9664.6,A,happy
9742.7,E,happy
9859.9,H,happy
9925.0,A,happy
10029.2,E,happy
10146.4,A,happy
10263.5,E,happy
10354.7,D,happy
10406.8,A,happy
10471.9,E,happy
10524.0,E,happy
10589.1,A,happy
10641.1,D,happy
10706.2,H,happy
10758.3,A,happy
10810.4,E,happy
10888.5,C,happy
10953.6,A,happy
11018.7,E,happy
11083.9,A,happy
11162.0,H,happy
11227.1,A,happy
11318.2,E,happy
11370.3,A,happy
11435.4,E,happy
11500.5,E,happy
11565.6,A,happy
11695.8,E,happy
11760.3,I,happy
11839.1,C,happy
11956.2,E,happy
12047.4,E,happy
12177.6,D,happy
12320.8,F,happy
12412.0,C,happy
12516.1,E,happy
12659.4,B,happy
12776.6,F,happy
12906.8,B,happy
13140.3,I,happy
13310.4,E,happy
13375.5,G,happy
13453.6,C,happy
13557.8,E,happy
13662.0,C,happy
13766.1,H,happy
13896.4,B,happy
14007.0,A,happy
14117.7,G,happy
14274.0,E,happy
14377.3,I,happy
14586.5,E,happy
14651.6,E,happy
14716.7,B,happy
14801.3,A,happy
14885.9,E,happy
14964.1,E,happy
15042.2,A,happy
15263.5,G,happy
15393.7,E,happy
15484.3,I,happy
15680.2,H,happy
15758.3,C,happy
15888.5,E,happy
15953.6,A,happy
16031.8,E,happy
16175.0,A,happy
16344.3,G,happy
16435.4,E,happy
16539.3,I,happy
16591.7,A,happy
16591.7,E,happy
16682.8,H,happy
16747.9,E,happy
16813.0,C,happy
16904.2,E,happy
16982.3,B,happy
17060.4,F,happy
17125.5,A,happy
17190.6,G,happy
17268.7,B,happy
17425.0,E,happy
17503.1,A,happy
17672.4,E,happy
17880.3,I,happy
18677.1,I,happy
18729.2,G,happy
18846.4,B,happy
18918.0,A,happy
19002.6,C,happy
19250.0,G,happy
19367.2,C,happy
19445.3,E,happy
19510.4,A,happy
19575.5,E,happy
19640.6,E,happy
19757.8,B,happy
19849.0,G,happy
19914.1,A,happy
19992.2,E,happy
20024.7,E,happy
20057.3,A,happy
20122.4,E,happy
20174.5,E,happy
20226.6,E,happy
20304.7,E,happy
20369.8,A,happy
20460.9,E,happy
20506.5,E,happy
20552.1,A,happy
20630.2,E,happy
20734.4,E,happy
20799.1,I,happy
20851.6,D,happy
20903.6,A,happy
20981.8,E,happy
21046.9,F,happy
21151.0,A,happy
21294.3,G,happy
21372.4,A,happy
21502.6,E,happy
21645.8,E,happy
21828.1,I,happy
22674.5,I,happy
22726.6,C,happy
22830.7,B,happy
22934.9,E,happy
23000.0,A,happy
23052.1,F,happy
23117.2,G,happy
23156.3,A,happy
23286.5,E,happy
23351.6,E,happy
23429.7,H,happy
23507.8,A,happy
23638.0,E,happy
23755.2,A,happy
23937.5,E,happy
24054.5,I,happy
24382.3,I,happy
24382.3,E,happy
24440.9,E,happy
24499.5,B,happy
24584.1,A,happy
24668.8,E,happy
24746.9,E,happy
24825.0,A,happy
25059.4,G,happy
25150.5,E,happy
25215.3,I,happy
25319.8,A,happy
25358.9,E,happy
25450.0,E,happy
25554.2,D,happy
25710.4,F,happy
25801.6,C,happy
25931.8,E,happy
26062.0,B,happy
26192.2,F,happy
26296.4,B,happy
26400.3,I,happy
26452.6,G,happy
26543.8,A,happy
26634.9,F,happy
26726.0,H,happy
26817.2,A,happy
26921.4,E,happy
26999.5,F,happy
27038.5,A,happy
27103.6,G,happy
27194.8,A,happy
27298.3,I,happy
27364.1,C,happy
27442.2,E,happy
27494.3,G,happy
27533.3,A,happy
27585.4,H,happy
27650.5,G,happy
27715.6,A,happy
27806.8,E,happy
27871.9,A,happy
27937.0,E,happy
28015.1,E,happy
28093.2,G,happy
28158.3,A,happy
28327.6,E,happy
28431.8,E,happy
28626.3,I,happy
29510.9,I,happy
29563.0,G,happy
29641.1,A,happy
29745.3,A,happy
29914.6,G,happy
29966.7,A,happy
30044.8,E,happy
30096.9,A,happy
30175.0,E,happy
30240.1,E,happy
30331.3,B,happy
30409.4,G,happy
30474.5,A,happy
30552.6,E,happy
30585.2,E,happy
30617.7,A,happy
30682.8,E,happy
30747.9,E,happy
30787.0,E,happy
30878.1,H,happy
30943.2,A,happy
31060.4,E,happy
31164.6,A,happy
31281.8,E,happy
31345.9,I,happy
31412.0,A,happy
31516.1,E,happy
31594.3,E,happy
31724.5,A,happy
31841.7,H,happy
31893.7,A,happy
31971.9,E,happy
32050.0,E,happy
32115.1,A,happy
32180.2,F,happy
32258.3,E,happy
32310.4,A,happy
32362.5,E,happy
32401.6,E,happy
32440.6,H,happy
32492.7,G,happy
32557.8,A,happy
32675.0,E,happy
32753.1,A,happy
32870.3,E,happy
32948.4,E,happy
33129.9,I,happy
