audio offset,viseme,mouth state
50.0,I,angry
100.0,D,angry
300.0,B,angry
400.0,G,angry
500.0,E,angry
550.0,A,angry
637.5,H,angry
700.0,E,angry
762.5,B,angry
837.5,A,angry
937.5,E,angry
1100.0,A,angry
1162.5,E,angry
1237.5,E,angry
1312.5,E,angry
1375.0,A,angry
1450.0,E,angry
1562.5,G,angry
1637.5,A,angry
1825.0,E,angry
1912.0,I,angry
1975.0,A,angry
2050.0,F,angry
2100.0,G,angry
2137.5,A,angry
2212.5,H,angry
2300.0,G,angry
2387.5,A,angry
2475.0,E,angry
2537.5,A,angry
2587.5,E,angry
2625.0,E,angry
2750.0,A,angry
2850.0,E,angry
2950.0,C,angry
3087.5,G,angry
3250.0,I,angry
3700.0,I,angry
3700.0,E,angry
3800.0,A,angry
3912.5,E,angry
4025.0,C,angry
4175.0,G,angry
4237.0,I,angry
4300.0,A,angry
4412.5,E,angry
4487.5,E,angry
4612.5,B,angry
4700.0,F,angry
4750.0,A,angry
4800.0,E,angry
4862.5,E,angry
4962.5,A,angry
5062.5,E,angry
5125.0,H,angry
5200.0,A,angry
5300.0,G,angry
5375.0,A,angry
5437.5,A,angry
5487.5,E,angry
5562.5,A,angry
5650.0,A,angry
5700.0,E,angry
5775.0,E,angry
5912.5,C,angry
6062.5,G,angry
6225.0,E,angry
6325.0,I,angry
7187.5,I,angry
7237.5,E,angry
7387.5,B,angry
7487.5,E,angry
7575.0,H,angry
7637.5,A,angry
7725.0,G,angry
7800.0,A,angry
7862.5,A,angry
7912.5,E,angry
7987.5,A,angry
8150.0,A,angry
8212.5,E,angry
8300.0,E,angry
8375.0,A,angry
8450.0,E,angry
8525.0,C,angry
8724.5,I,angry
8937.5,A,angry
9012.5,E,angry
9175.0,A,angry
9262.5,H,angry
9325.0,E,angry
9400.0,E,angry
9462.5,A,angry
9525.0,E,angry
9600.0,E,angry
9662.5,E,angry
9750.0,C,angry
9837.5,G,angry
9900.0,E,angry
9962.5,E,angry
10112.5,C,angry
10200.0,H,angry
10262.5,A,angry
10362.5,E,angry
10450.0,A,angry
10550.0,E,angry
10675.0,B,angry
10825.0,E,angry
10962.5,E,angry
11037.5,I,angry
11800.0,I,angry
11850.0,E,angry
12012.5,C,angry
12112.5,H,angry
12175.0,A,angry
12300.0,E,angry
12400.0,D,angry
12462.5,A,angry
12512.5,E,angry
12587.5,G,angry
12650.0,A,angry
12725.0,E,angry
12850.0,E,angry
12912.5,C,angry
13000.0,E,angry
13050.0,E,angry
13087.5,A,angry
13137.5,E,angry
13212.5,H,angry
13325.0,C,angry
13375.0,A,angry
13425.0,E,angry
13500.0,E,angry
13562.5,A,angry
13612.5,F,angry
13675.0,G,angry
13775.0,C,angry
13875.0,A,angry
13975.0,F,angry
14125.0,I,angry
14425.0,I,angry
14425.0,E,angry
