audio offset,viseme,mouth state
50.0,I,happy
103.2,E,happy
183.0,A,happy
262.8,E,happy
329.3,E,happy
369.1,A,happy
422.3,F,happy
462.2,A,happy
581.9,E,happy
661.7,A,happy
741.5,F,happy
821.3,E,happy
874.5,A,happy
927.7,E,happy
967.6,E,happy
1007.4,E,happy
1140.4,C,happy
1233.5,G,happy
1300.0,A,happy
1366.5,E,happy
1433.0,E,happy
1539.4,A,happy
1619.1,E,happy
1685.6,E,happy
1752.1,A,happy
1858.5,H,happy
1885.0,I,happy
1964.9,A,happy
2018.1,E,happy
2071.3,A,happy
2164.4,E,happy
2244.1,A,happy
2310.6,F,happy
2390.4,E,happy
2443.6,A,happy
2483.5,E,happy
2523.4,E,happy
2563.3,A,happy
2656.4,D,happy
2722.9,E,happy
2762.8,A,happy
2816.0,F,happy
2882.4,B,happy
2975.5,E,happy
3108.5,E,happy
3321.0,I,happy
4135.6,I,happy
4188.8,G,happy
4295.2,B,happy
4388.3,E,happy
4441.5,A,happy
4508.0,E,happy
4601.1,C,happy
4827.1,H,happy
4880.3,F,happy
4933.5,A,happy
5026.6,A,happy
5106.4,E,happy
5186.2,G,happy
5266.0,A,happy
5332.4,E,happy
5465.4,C,happy
5638.3,B,happy
5851.1,E,happy
5970.7,E,happy
6129.6,I,happy
6356.4,H,happy
6409.6,A,happy
6449.5,E,happy
6516.0,G,happy
6555.8,B,happy
6635.6,E,happy
6688.8,C,happy
6742.0,E,happy
6821.8,H,happy
6901.6,G,happy
6968.1,A,happy
7087.8,E,happy
7154.3,A,happy
7234.0,E,happy
7287.2,E,happy
7326.6,I,happy
7393.6,A,happy
7473.4,E,happy
7579.8,E,happy
7686.2,H,happy
7752.7,A,happy
7872.3,E,happy
8005.3,A,happy
8191.5,E,happy
8403.6,I,happy
9268.6,I,happy
9321.8,G,happy
9414.9,A,happy
9508.0,G,happy
9601.1,C,happy
9707.4,E,happy
9787.2,E,happy
9820.5,E,happy
9853.7,A,happy
9933.5,E,happy
10000.0,E,happy
10093.1,H,happy
10146.3,G,happy
10212.8,A,happy
10332.4,E,happy
10412.2,A,happy
10531.9,E,happy
10584.6,I,happy
10784.6,E,happy
10864.4,C,happy
11010.6,G,happy
11077.1,E,happy
11130.3,E,happy
11236.7,A,happy
11343.1,E,happy
11462.8,C,happy
11675.5,G,happy
