audio offset,viseme,mouth state
50.0,I,neutral
101.0,E,neutral
254.1,C,neutral
381.6,E,neutral
419.9,E,neutral
458.2,D,neutral
521.9,B,neutral
598.5,E,neutral
662.2,A,neutral
764.3,A,neutral
840.8,H,neutral
891.8,C,neutral
962.0,B,neutral
1032.1,E,neutral
1095.9,A,neutral
1236.2,E,neutral
1351.0,I,neutral
1602.0,I,neutral
1602.0,H,neutral
1704.1,C,neutral
1869.9,E,neutral
1959.2,E,neutral
2048.5,E,neutral
2150.5,A,neutral
2252.6,H,neutral
2329.1,E,neutral
2373.7,E,neutral
2418.4,B,neutral
2584.2,E,neutral
2622.4,E,neutral
2673.5,E,neutral
2737.0,I,neutral
2788.3,E,neutral
2903.1,A,neutral
3017.9,E,neutral
3068.9,A,neutral
3145.4,E,neutral
3260.2,B,neutral
3349.5,E,neutral
3426.0,A,neutral
3489.8,E,neutral
3540.8,E,neutral
3617.3,E,neutral
3693.9,C,neutral
4076.0,I,neutral
