audio offset,viseme,mouth state
50.0,I,neutral
102.1,E,neutral
180.2,A,neutral
232.3,E,neutral
284.4,A,neutral
336.5,D,neutral
414.6,A,neutral
492.7,E,neutral
531.8,E,neutral
570.8,A,neutral
609.9,E,neutral
675.0,E,neutral
753.1,E,neutral
831.2,A,neutral
948.4,E,neutral
1000.5,E,neutral
1065.6,B,neutral
1143.8,F,neutral
1195.8,E,neutral
1247.9,A,neutral
1300.0,E,neutral
1404.2,A,neutral
1521.4,E,neutral
1625.0,I,neutral
2421.9,I,neutral
2474.0,C,neutral
2734.4,E,neutral
3192.7,I,neutral
3192.7,E,neutral
3309.9,B,neutral
3349.0,E,neutral
3401.0,C,neutral
3459.6,A,neutral
3531.3,E,neutral
3609.4,A,neutral
3648.4,H,neutral
3765.6,A,neutral
3869.8,E,neutral
3921.9,G,neutral
3960.9,A,neutral
4026.0,G,neutral
4091.1,B,neutral
4169.3,E,neutral
4247.4,E,neutral
4279.9,E,neutral
4312.5,A,neutral
4403.6,E,neutral
4572.7,I,neutral
