audio offset,viseme,mouth state
50,I,notImpressed
101,D,notImpressed
305.1,B,notImpressed
509.2,G,notImpressed
649,I,notImpressed
815.3,E,notImpressed
904.6,B,notImpressed
1032.1,E,notImpressed
1108.7,F,notImpressed
1185.2,A,notImpressed
1261.7,E,notImpressed
1351,A,notImpressed
1478.6,D,notImpressed
1759,I,notImpressed
2538.3,I,notImpressed
2589.3,A,notImpressed
2729.6,E,notImpressed
2806.1,D,notImpressed
2933.7,B,notImpressed
3023,E,notImpressed
3086.7,E,notImpressed
3150.5,A,notImpressed
3201.5,F,notImpressed
3290.8,H,notImpressed
3341.8,A,notImpressed
3405.6,E,notImpressed
3469.4,A,notImpressed
3545.9,E,notImpressed
3750,B,notImpressed
3871.2,A,notImpressed
3992.3,H,notImpressed
4043.3,I,notImpressed
4285.7,A,notImpressed
4336.7,F,notImpressed
4400.5,A,notImpressed
4477,D,notImpressed
4553.6,D,notImpressed
4604.6,B,notImpressed
4668.4,E,notImpressed
4732.1,E,notImpressed
4821.4,C,notImpressed
4949,E,notImpressed
5000,E,notImpressed
5076.5,A,notImpressed
5114.8,F,notImpressed
5178.6,H,notImpressed
5229.6,A,notImpressed
5267.9,E,notImpressed
5433.7,B,notImpressed
5478.3,A,notImpressed
5523,H,notImpressed
5586.7,A,notImpressed
5625,G,notImpressed
5688.8,E,notImpressed
5752.6,B,notImpressed
5816.3,A,notImpressed
5905.6,E,notImpressed
5943.9,E,notImpressed
5982.1,A,notImpressed
6020.4,E,notImpressed
6084.2,E,notImpressed
6199,E,notImpressed
6275.5,A,notImpressed
6403.1,E,notImpressed
6454.1,E,notImpressed
6505.1,G,notImpressed
6543.4,A,notImpressed
6607.1,E,notImpressed
6709.2,G,notImpressed
6811.2,B,notImpressed
6887.8,E,notImpressed
6964.3,E,notImpressed
7002.6,E,notImpressed
7040.8,A,notImpressed
7130.1,E,notImpressed
7257.3,I,notImpressed
7436.2,H,notImpressed
7500,A,notImpressed
7576.5,E,notImpressed
7665.8,C,notImpressed
7767.9,E,notImpressed
7857.1,E,notImpressed
8035.7,C,notImpressed
8080.4,A,notImpressed
8125,E,notImpressed
8201.5,E,notImpressed
8239.8,A,notImpressed
8341.8,F,notImpressed
8431.1,C,notImpressed
8514,A,notImpressed
8596.9,F,notImpressed
8673.5,H,notImpressed
8737.2,A,notImpressed
8788.3,E,notImpressed
8852,E,notImpressed
8979.6,B,notImpressed
9081.6,E,notImpressed
9145.4,E,notImpressed
9209.2,A,notImpressed
9273,F,notImpressed
9349.5,C,notImpressed
9515.3,G,notImpressed
9604.6,E,notImpressed
9757.7,A,notImpressed
9834.2,H,notImpressed
9898,E,notImpressed
9942.6,E,notImpressed
9987.2,B,notImpressed
10114.8,E,notImpressed
10153.1,E,notImpressed
10191.3,E,notImpressed
10242.3,A,notImpressed
10344.4,E,notImpressed
10382.7,E,notImpressed
10420.9,A,notImpressed
10471.9,E,notImpressed
10535.7,E,notImpressed
10650.5,E,notImpressed
10727,A,notImpressed
10867.3,E,notImpressed
10918.4,E,notImpressed
10969.4,A,notImpressed
11033.2,E,notImpressed
11122.4,E,notImpressed
11199,C,notImpressed
11243.6,A,notImpressed
11288.3,E,notImpressed
11364.8,A,notImpressed
11454.1,D,notImpressed
11568.9,B,notImpressed
11721.9,A,notImpressed
11874.2,I,disgusted
12716.8,I,disgusted
12767.9,E,disgusted
12959.2,C,disgusted
13125,E,disgusted
13252.6,C,disgusted
13367.3,E,disgusted
13431.1,E,disgusted
13469.4,H,disgusted
13507.7,A,disgusted
13584.2,E,disgusted
13660.7,A,disgusted
13750,H,disgusted
13839.3,E,disgusted
13966.8,D,disgusted
14170.9,E,disgusted
14311.2,A,disgusted
14375,H,disgusted
14451.5,F,disgusted
14502.6,A,disgusted
14528.1,E,disgusted
14553.6,E,disgusted
14579.1,A,disgusted
14642.9,H,disgusted
14681.1,A,disgusted
14821.4,G,disgusted
14897.8,I,disgusted
15114.8,E,disgusted
15229.6,A,disgusted
15318.9,H,disgusted
15395.4,H,disgusted
15523,B,disgusted
15574,A,disgusted
15625,A,disgusted
15701.5,E,disgusted
15790.8,A,disgusted
15867.3,E,disgusted
16007.7,B,disgusted
16071.4,E,disgusted
16148,E,disgusted
16237.2,A,disgusted
16377.6,E,disgusted
16529.8,I,disgusted
17372.4,I,disgusted
17423.5,A,disgusted
17576.5,E,disgusted
17729.6,H,disgusted
17818.9,B,disgusted
17908.2,E,disgusted
18023,A,disgusted
18086.7,G,disgusted
18176,A,disgusted
18290.8,A,disgusted
18443.9,D,disgusted
18961.7,I,disgusted
18961.7,E,disgusted
19063.8,A,disgusted
19204.1,E,disgusted
19267.9,E,disgusted
19318.9,A,disgusted
19420.9,F,disgusted
19535.7,C,disgusted
19650.5,E,disgusted
19752.6,E,disgusted
19803.6,E,disgusted
19854.6,B,disgusted
19905.6,H,disgusted
19994.9,A,disgusted
20122.4,E,disgusted
20199,A,disgusted
20262.8,E,disgusted
20352,E,disgusted
20454.1,E,disgusted
20517.9,A,disgusted
20619.9,E,disgusted
20709.2,E,disgusted
20773,A,disgusted
20913.3,E,disgusted
21014.7,I,disgusted
